Format Version,1.23,Take Name,230626_Group7_trial2,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2023-06-26 04.59.24.660 오후,Capture Start Frame,542752,Total Frames in Take,424,Total Exported Frames,424,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Local

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
29,0.290000,0.338664,0.080693,0.759099,0.225257,0.989387,0.727985,0.370414,0.081909,0.699871,0.289595,0.510917,0.763420,0.406848,0.976113,0.625376,0.291699,0.591827,0.763092,0.310643,0.421939,0.770255,0.199456,0.051960,0.772771,0.352068,0.080100,0.276523,0.200590,0.957680,0.455847,0.376716,0.076558,0.335929,0.297494,0.512641,0.353086,0.399517,0.964616,0.518648,0.292298,0.612585,0.362716,0.325852,0.379741,0.314215,0.191479,0.041893,0.247978,,,
30,0.300000,0.338654,0.080721,0.759092,0.225026,0.989385,0.727665,0.370416,0.081923,0.699857,0.289497,0.510910,0.763229,0.406696,0.976109,0.625308,0.291544,0.591814,0.762856,0.310504,0.421895,0.770071,0.199453,0.051968,0.772751,0.352088,0.080070,0.276504,0.200554,0.957726,0.455516,0.376714,0.076534,0.335923,0.297535,0.512659,0.352927,0.399490,0.964630,0.518538,0.292342,0.612604,0.362503,0.325902,0.379727,0.314117,0.191495,0.041880,0.247956,,,
31,0.310000,0.338632,0.080750,0.759045,0.224767,0.989169,0.727111,0.370403,0.081929,0.699851,0.289387,0.510924,0.762992,0.406567,0.976124,0.625182,0.291407,0.591820,0.762570,0.310411,0.421909,0.769864,0.199442,0.051973,0.772731,0.352107,0.080045,0.276473,0.200552,0.957806,0.455183,0.376717,0.076545,0.335911,0.297552,0.512683,0.352720,0.399453,0.964713,0.518388,0.292389,0.612650,0.362276,0.325937,0.379731,0.313984,0.191487,0.041890,0.247933,,,
32,0.320000,0.338575,0.080768,0.759007,0.224583,0.989132,0.726814,0.370359,0.081925,0.699785,0.289277,0.510950,0.762712,0.406424,0.976111,0.624997,0.291263,0.591824,0.762279,0.310366,0.422002,0.769696,0.199422,0.051982,0.772712,0.352118,0.080027,0.276444,0.200687,0.957880,0.454575,0.376725,0.076531,0.335884,0.297598,0.512698,0.352484,0.399403,0.964739,0.518220,0.292480,0.612708,0.362005,0.325972,0.379737,0.313838,0.191495,0.041887,0.247907,,,
33,0.330000,0.338556,0.080791,0.758946,0.224349,0.989116,0.726509,0.370353,0.081941,0.699779,0.289161,0.510961,0.762436,0.406308,0.976134,0.624809,0.291118,0.591804,0.761945,0.310255,0.422019,0.769496,0.199394,0.051979,0.772690,0.352125,0.079996,0.276406,0.200708,0.958009,0.454140,0.376735,0.076539,0.335860,0.297796,0.512714,0.352116,0.399421,0.964809,0.517994,0.292503,0.612752,0.361703,0.326011,0.379740,0.313667,0.191484,0.041885,0.247872,,,
34,0.340000,0.338528,0.080818,0.758886,0.224126,0.989105,0.726186,0.370306,0.081926,0.699679,0.289046,0.510957,0.762137,0.406204,0.976141,0.624583,0.290963,0.591778,0.761620,0.310156,0.422016,0.769215,0.199377,0.051991,0.772637,0.352150,0.079985,0.276395,0.200787,0.958093,0.453712,0.376734,0.076539,0.335811,0.297880,0.512781,0.351726,0.399329,0.964872,0.517742,0.292546,0.612810,0.361337,0.326021,0.379729,0.313493,0.191488,0.041872,0.247846,,,
35,0.350000,0.338488,0.080836,0.758829,0.223917,0.989088,0.725837,0.370305,0.081932,0.699623,0.288956,0.510958,0.761828,0.406067,0.976106,0.624307,0.290816,0.591708,0.761264,0.310079,0.422017,0.768898,0.199374,0.051996,0.772618,0.352171,0.079947,0.276343,0.200841,0.958186,0.453291,0.376771,0.076542,0.335777,0.297929,0.512813,0.351436,0.399245,0.964920,0.517433,0.292588,0.612881,0.360979,0.326045,0.379725,0.313313,0.191505,0.041858,0.247828,,,
36,0.360000,0.338470,0.080865,0.758765,0.223559,0.989103,0.725432,0.370293,0.081933,0.699547,0.288855,0.510952,0.761474,0.405914,0.976075,0.623978,0.290655,0.591633,0.760868,0.309931,0.421962,0.768576,0.199342,0.051977,0.772586,0.352195,0.079915,0.276295,0.200919,0.958257,0.452808,0.376787,0.076524,0.335746,0.297935,0.512841,0.351150,0.399253,0.964952,0.517146,0.292596,0.612955,0.360610,0.326072,0.379713,0.313090,0.191491,0.041842,0.247790,,,
37,0.370000,0.338451,0.080898,0.758698,0.223363,0.989167,0.724866,0.370258,0.081948,0.699484,0.288786,0.510984,0.761137,0.405808,0.976049,0.623680,0.290513,0.591654,0.760481,0.309920,0.422007,0.768270,0.199333,0.051993,0.772570,0.352214,0.079884,0.276260,0.201002,0.958328,0.452293,0.376815,0.076513,0.335712,0.297973,0.512879,0.350836,0.398748,0.964650,0.517111,0.292625,0.612983,0.360283,0.326118,0.379704,0.312868,0.191517,0.041832,0.247761,,,
38,0.380000,0.338429,0.080913,0.758647,0.223156,0.989076,0.724204,0.370228,0.081925,0.699431,0.288694,0.510994,0.760807,0.405672,0.976061,0.623382,0.290365,0.591665,0.760095,0.309840,0.422077,0.767929,0.199324,0.051985,0.772574,0.352242,0.079847,0.276210,0.201108,0.958538,0.451626,0.376829,0.076519,0.335646,0.297963,0.512905,0.350481,0.399137,0.965016,0.516524,0.292632,0.613034,0.359875,0.326174,0.379727,0.312606,0.191517,0.041826,0.247721,,,
